Date,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,UNH,V,XOM
2021-01-04,125.856689453125,159.3314971923828,85.59902954101562,109.4915542602539,266.845947265625,208.40652465820312,13.076016426086426,319.6620788574219,209.57296752929688,33.693790435791016
2021-01-05,127.41278839111328,160.92550659179688,86.2893295288086,110.08733367919922,268.86016845703125,208.6075439453125,13.366434097290039,315.3633728027344,206.44512939453125,35.31758117675781
2021-01-06,123.12384796142578,156.91900634765625,85.43785095214844,115.2565689086914,261.259765625,203.19854736328125,12.578445434570312,328.5979919433594,204.62620544433594,36.21879196166992
2021-01-07,127.32525634765625,158.10800170898438,87.98977661132812,119.04149627685547,266.64752197265625,208.98092651367188,13.30586051940918,333.8663024902344,205.77145385742188,36.50295639038086
2021-01-08,128.42422485351562,159.13499450683594,89.15464782714844,119.17296600341797,265.4866027832031,210.25418090820312,13.238801956176758,332.3663024902344,207.34979248046875,36.908912658691406
2021-01-11,125.4384994506836,155.7104949951172,87.09465789794922,120.95149993896484,254.8401336669922,208.21507263183594,13.582566261291504,329.95172119140625,204.88601684570312,38.02933120727539
2021-01-12,125.26344299316406,156.04150390625,86.15939331054688,122.85274505615234,249.13490295410156,205.76426696777344,13.446207046508789,326.8602600097656,201.00753784179688,38.87370300292969
2021-01-13,127.29605102539062,158.29449462890625,86.64636993408203,122.96666717529297,249.6806182861328,207.11410522460938,13.493071556091309,324.7291564941406,201.47914123535156,39.31211853027344
2021-01-14,125.37042999267578,156.37350463867188,85.83656311035156,123.68506622314453,243.7273406982422,203.93572998046875,13.162520408630371,320.6042175292969,194.2707061767578,40.84661865234375
2021-01-15,123.64901733398438,155.21249389648438,85.67290496826172,121.46842193603516,249.40280151367188,203.58140563964844,12.822741508483887,321.3083801269531,194.0108642578125,38.8818244934082
2021-01-19,124.32007598876953,156.03799438476562,88.49211883544922,120.94275665283203,259.0669250488281,207.2098388671875,12.988021850585938,322.1225280761719,194.07827758789062,39.65311813354492
